MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
11490056,8583,17,34,AG_30_50,1,3000,0,15,26
13320557,24695,12,55,AG_50_70,2,2250,0,17,31
11573652,0,6,80,AG_70_UP,0,3250,0,25,49
100065278,0,10,21,AG_0_30,0,3250,0,24,44
12973970,5950,24,26,AG_0_30,5,2000,1,20,32
5387268,0,14,39,AG_30_50,0,1750,0,35,35
5310338,1854,5,31,AG_30_50,1,800,0,36,44
10174472,1234,8,64,AG_50_70,2,1210,0,30,30
13233946,349,11,73,AG_70_UP,0,2000,0,3,71
15388423,2447,6,71,AG_70_UP,0,1500,0,5,70
100097303,5175,24,44,AG_30_50,6,1500,1,8,69
10274233,9502,15,49,AG_30_50,0,5750,0,5,65
13739695,12860,7,57,AG_50_70,0,568,0,7,70
12864566,15009,33,59,AG_50_70,0,3000,0,18,58
4732814,6050,14,48,AG_30_50,0,2250,0,31,65
17098344,1939,21,67,AG_50_70,1,0,0,1,87
2270057,6407,8,30,AG_0_30,0,6000,0,2,93
14373694,14688,24,62,AG_50_70,0,1750,0,3,78
15762756,2680,14,42,AG_30_50,1,2000,0,8,83
3933030,4196,15,59,AG_50_70,1,10000,0,6,97
14249316,85,4,66,AG_50_70,0,3250,0,17,89
10385099,12407,26,59,AG_50_70,1,2750,0,13,87
5160484,12418,26,65,AG_50_70,5,2000,1,18,98
13006656,21142,11,54,AG_50_70,1,1750,0,23,80
3388791,0,11,27,AG_0_30,0,0,0,48,98
5412225,2794,7,48,AG_30_50,0,4250,0,35,88
3667472,3099,23,51,AG_50_70,0,2150,0,56,87
2219405,4505,7,30,AG_0_30,0,1750,0,93,93
4516960,4181,13,47,AG_30_50,7,1750,1,34,92
2056785,6899,4,71,AG_70_UP,0,5750,0,95,95
16537762,1974,17,51,AG_50_70,0,1000,0,3,100
16311410,7099,37,52,AG_50_70,3,1000,1,3,108
16470463,9426,36,55,AG_50_70,2,1000,0,3,102
13763646,24562,40,56,AG_50_70,0,3250,0,4,118
2314964,25011,28,45,AG_30_50,0,6000,0,2,122
11497113,7833,23,81,AG_70_UP,0,1000,0,6,104
11458827,15562,20,48,AG_30_50,7,2800,1,6,124
14453406,3129,13,37,AG_30_50,4,500,1,13,100
10291469,10751,27,49,AG_30_50,0,3250,0,19,110
13648739,1855,20,79,AG_70_UP,0,807,0,20,106
10074004,6499,14,60,AG_50_70,1,2100,0,23,105
10175872,10500,32,47,AG_30_50,0,1000,0,22,123
4445023,4696,14,65,AG_50_70,1,1250,0,46,106
2774059,11936,16,38,AG_30_50,0,4500,0,63,103
14131398,5566,14,63,AG_50_70,0,2000,0,5,135
100114196,7231,15,33,AG_30_50,0,2000,0,5,149
14755484,11270,11,33,AG_30_50,0,500,0,14,149
1343107,16600,8,29,AG_0_30,1,3800,0,56,135
16047927,1857,10,59,AG_50_70,1,1000,0,3,150
4731896,3495,16,61,AG_50_70,0,1000,0,4,181
3623300,16721,32,34,AG_30_50,0,1450,0,1,159
14131804,2418,19,35,AG_30_50,1,1500,0,11,152
13740796,12344,31,64,AG_50_70,0,3250,0,12,154
13983273,22818,17,57,AG_50_70,0,2500,0,10,163
13361776,622,33,44,AG_30_50,0,2250,0,20,195
2310146,3471,8,54,AG_50_70,1,10000,0,6,211
10742769,3498,31,68,AG_50_70,1,2250,0,9,245
16011157,7705,25,52,AG_50_70,3,1000,1,7,225
13667394,8962,31,56,AG_50_70,0,2750,0,5,215
14051813,3193,6,64,AG_50_70,3,600,1,18,210
14423855,6530,25,52,AG_50_70,0,1000,0,10,238
11637838,17402,36,45,AG_30_50,7,2250,1,17,228
13043675,21122,28,62,AG_50_70,0,1750,0,16,206
15307415,9072,40,64,AG_50_70,0,1000,0,2,338
10197211,3214,21,40,AG_30_50,1,3250,0,5,305
16178677,896,6,58,AG_50_70,0,1000,0,2,6
5470202,9153,8,59,AG_50_70,1,3500,0,34,55
14680006,2191,20,27,AG_0_30,0,1500,0,3,100
4044173,7979,28,58,AG_50_70,0,2750,0,7,103
13915562,3850,19,38,AG_30_50,0,2000,0,15,110
16462997,8424,25,45,AG_30_50,0,1750,0,4,213
14403888,2393,14,44,AG_30_50,0,1750,0,13,84
17075678,11827,25,63,AG_50_70,0,2250,0,1,131
13368939,943,24,47,AG_30_50,1,3250,0,8,147
11436400,460,17,48,AG_30_50,0,2000,0,26,131
5455141,5757,23,45,AG_30_50,1,1000,0,34,234
4298206,2568,28,39,AG_30_50,0,10000,0,20,279
14946826,2516,10,21,AG_0_30,0,500,0,3,43
16237592,4887,7,22,AG_0_30,2,1000,0,6,29
2078855,949,17,48,AG_30_50,0,2250,0,84,102
3519505,1546,15,39,AG_30_50,1,1700,0,41,117
3934655,29119,31,55,AG_50_70,1,2350,0,8,143
11412945,40826,37,40,AG_30_50,0,1750,0,7,227
11562556,26633,24,77,AG_70_UP,0,2750,0,22,281
11489782,4844,13,32,AG_30_50,7,2500,1,10,26
13900227,3931,11,45,AG_30_50,1,1000,0,16,80
4789438,6282,28,62,AG_50_70,0,980,0,18,84
11458152,9018,27,40,AG_30_50,7,1500,1,2,33
10037057,26761,28,59,AG_50_70,2,3250,0,12,134
5412723,5734,26,35,AG_30_50,2,1400,0,11,57
14552529,3424,20,32,AG_30_50,7,500,1,15,30
4284679,13133,38,79,AG_70_UP,1,1200,0,3,200
5253166,4409,18,73,AG_70_UP,1,1350,0,9,102
3886249,7587,26,59,AG_50_70,0,4500,0,22,129
10154349,11479,36,66,AG_50_70,0,1289,0,9,235
13759879,8974,41,47,AG_30_50,0,500,0,1,276
16575088,3549,9,73,AG_70_UP,0,2250,0,2,12
14080332,4165,16,30,AG_0_30,7,607,1,15,32
14096656,16261,45,46,AG_30_50,0,2250,0,2,207
5457093,2065,17,32,AG_30_50,0,3250,0,34,38
13036823,27174,21,62,AG_50_70,0,3250,0,2,86
5229866,15930,26,64,AG_50_70,0,3500,0,2,115
10204049,9302,28,49,AG_30_50,0,2250,0,10,195
12929793,4995,27,39,AG_30_50,0,500,0,4,71
10174428,30814,12,84,AG_70_UP,0,1750,0,1,50
5469030,16851,29,59,AG_50_70,0,2500,0,8,58
10153162,11834,22,57,AG_50_70,7,1750,1,30,69
10307206,43215,58,53,AG_50_70,3,2000,1,12,96
11623903,14528,15,48,AG_30_50,0,1677,0,24,91
3005255,14268,25,46,AG_30_50,7,4500,1,42,85
3815012,26683,20,65,AG_50_70,5,950,1,16,118
1503556,16568,41,51,AG_50_70,0,4000,0,18,162
11573667,8405,11,79,AG_70_UP,0,1750,0,25,162
10022814,4390,16,63,AG_50_70,0,3250,0,32,173
16850293,1257,6,48,AG_30_50,0,1000,0,2,14
13656982,16162,17,47,AG_30_50,4,2000,1,7,21
10246181,18375,12,61,AG_50_70,0,2000,0,18,37
16721185,331,35,58,AG_50_70,0,1000,0,3,91
17161409,1981,26,30,AG_0_30,2,500,0,1,81
16973169,4766,26,72,AG_70_UP,1,2000,0,2,76
3364417,34026,24,49,AG_30_50,5,4750,1,4,92
15783986,805,15,63,AG_50_70,1,500,0,7,79
