,MATCHKEY,RBAL,TRADES,AGE,AGE_groups,DELQID,CRELIM,goodbad,BRNEW,BRAGE
434,11489782,4844,13,32,AG_30_50,7,2500,1,10,26
435,13900227,3931,11,45,AG_30_50,1,1000,0,16,80
436,4789438,6282,28,62,AG_50_70,0,980,0,18,84
437,11458152,9018,27,40,AG_30_50,7,1500,1,2,33
438,10037057,26761,28,59,AG_50_70,2,3250,0,12,134
439,5412723,5734,26,35,AG_30_50,2,1400,0,11,57
440,14552529,3424,20,32,AG_30_50,7,500,1,15,30
441,4284679,13133,38,79,AG_70_UP,1,1200,0,3,200
442,5253166,4409,18,73,AG_70_UP,1,1350,0,9,102
443,3886249,7587,26,59,AG_50_70,0,4500,0,22,129
444,10154349,11479,36,66,AG_50_70,0,1289,0,9,235
445,13759879,8974,41,47,AG_30_50,0,500,0,1,276
